Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
8/15/2016,Con Edison,DLRP,15:00,21:00,6:00,Ridgewood,Event,Contingency
8/15/2016,Con Edison,DLRP,15:00,21:00,6:00,Richmond Hill,Event,Contingency
8/15/2016,NYISO,TDRP,14:00,22:00,8:00,Zone J,Event,
8/15/2016,Con Edison,CSRP,14:00,18:00,4:00,All,Event,Planned
8/15/2016,Con Edison,CSRP,16:00,20:00,4:00,All,Event,Planned
8/15/2016,Con Edison,CSRP,19:00,23:00,4:00,All,Event,Planned
8/15/2016,Con Edison,CSRP,11:00,15:00,4:00,All,Event,Planned
8/15/2016,Con Edison,DLC,15:00,21:00,6:00,Crown Heights,Event,Contingency
8/15/2016,Con Edison,DLC,15:00,21:00,6:00,Ridgewood,Event,Contingency
8/15/2016,Con Edison,DLC,15:00,21:00,6:00,Richmond Hill,Event,Contingency
8/15/2016,Con Edison,DLC,11:00,15:00,4:00,Daytime Networks,Event,Planned
8/15/2016,Con Edison,DLC,16:00,20:00,4:00,Nighttime Networks,Event,Planned
8/16/2016,Con Edison,DLRP,16:00,22:00,6:00,Crown Heights,Event,Contingency
8/16/2016,Con Edison,DLRP,16:00,22:00,6:00,Ridgewood,Event,Contingency
8/16/2016,Con Edison,DLRP,16:00,22:00,6:00,Richmond Hill,Event,Contingency
8/16/2016,Con Edison,DLC,16:00,22:00,6:00,Crown Heights,Event,Contingency
8/16/2016,Con Edison,DLC,16:00,22:00,6:00,Ridgewood,Event,Contingency
8/16/2016,Con Edison,DLC,16:00,22:00,6:00,Richmond Hill,Event,Contingency
6/12/2017,Con Edison,DLRP,15:00,21:00,6:00,Williamsburg,Event,Contingency
6/12/2017,Con Edison,DLRP,15:00,21:00,6:00,Prospect Park,Event,Contingency
6/13/2017,Con Edison,DLRP,15:00,21:00,6:00,Williamsburg,Event,Contingency
6/13/2017,Con Edison,DLRP,15:00,21:00,6:00,Prospect Park,Event,Contingency
6/19/2017,Con Edison,DLRP,16:00,22:00,6:00,Williamsburg,Event,Immediate
6/19/2017,Con Edison,DLRP,16:00,22:00,6:00,Prospect Park,Event,Immediate
6/12/2017,Con Edison,DLC,17:30,21:30,4:00,Williamsburg,Event,Contingency
6/12/2017,Con Edison,DLC,17:30,21:30,4:00,Prospect Park,Event,Contingency
6/13/2017,Con Edison,DLC,17:30,21:30,4:00,Williamsburg,Event,Contingency
6/13/2017,Con Edison,DLC,17:30,21:30,4:00,Prospect Park,Event,Contingency
6/19/2017,Con Edison,DLC,16:00,22:00,6:00,Williamsburg,Event,Immediate
6/19/2017,Con Edison,DLC,16:00,22:00,6:00,Prospect Park,Event,Immediate
7/18/2017,Con Edison,DLRP,16:00,17:00,1:00,All,Test,
7/20/2017,Con Edison,Smart AC,14:00,18:00,4:00,All,Test,
7/20/2017,Con Edison,Smart AC,19:00,23:00,4:00,All,Test,
7/31/2017,Con Edison,DLRP,16:00,17:00,1:00,All,Test,
8/2/2017,Con Edison,CSRP,11:00,12:00,1:00,All,Test,
8/2/2017,Con Edison,CSRP,14:00,15:00,1:00,All,Test,
8/2/2017,Con Edison,CSRP,16:00,17:00,1:00,All,Test,
8/2/2017,Con Edison,CSRP,19:00,20:00,1:00,All,Test,
8/2/2017,Con Edison,BQDM,16:00,20:00,4:00,Richmond Hill,Test,
8/2/2017,Con Edison,BQDM,16:00,20:00,4:00,Ridgewood,Test,
